,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
219,220,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,420.0,0.11,768.0,512.0,,,,44.73,11.76,,3.58,,73.03,58.0,
220,221,[atles-champion-embedding](https://huggingface.co/spartan8806/atles-champion-embedding),99%,420.0,0.109,768.0,512.0,,,,,,,,,,,74.03
221,222,[model2vecdk-stem](https://huggingface.co/andersborges/model2vecdk-stem),100%,185.0,0.049,256.0,,,,40.21,45.06,5.15,,,,,25.56,
222,223,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,209.0,0.223,768.0,512.0,,,,45.21,23.8,,2.24,,73.28,55.93,
223,224,[model2vecdk](https://huggingface.co/andersborges/model2vecdk),100%,183.0,0.048,256.0,,,,40.57,45.2,4.85,,,,,21.05,
224,225,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,1037.0,0.272,1024.0,2048.0,,,,65.93,43.45,,,,,35.44,
225,226,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,808.0,0.212,768.0,8192.0,,,,66.34,43.62,,,65.02,73.52,,
226,227,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),98%,2167.0,0.568,1024.0,8192.0,,,,66.33,,,,,90.71,55.49,
227,228,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,134.0,0.035,512.0,512.0,,,,41.8,6.64,,2.29,,74.06,48.16,
228,229,[FRIDA](https://huggingface.co/ai-forever/FRIDA),83%,3141.0,0.823,1536.0,512.0,,,,79.49,,,64.64,66.45,77.02,,
229,230,[XLMRoberta-en-da-sv-nb](https://huggingface.co/KFST/XLMRoberta-en-da-sv-nb),⚠️ NA,1061.0,0.278,768.0,512.0,,,57.91,48.22,,,,,,,
230,231,[BERTA](https://huggingface.co/sergeyzh/BERTA),83%,489.0,0.128,768.0,512.0,,,,73.96,,,73.01,65.74,75.16,,
231,232,[sarashina-embedding-v2-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v2-1b),100%,4669.0,1.224,1792.0,8192.0,,,,76.03,51.26,,,,,,82.56
232,233,[ruri-large](https://huggingface.co/cl-nagoya/ruri-large),⚠️ NA,644.0,0.337,1024.0,512.0,,,,74.25,42.86,,,,,,82.66
233,233,[bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,,,,,,,,,,34.88,
234,235,[ruri-v3-310m](https://huggingface.co/cl-nagoya/ruri-v3-310m),99%,1200.0,0.315,768.0,8192.0,,,,76.4,49.56,,,,,,77.97
235,236,[ruri-large-v2](https://huggingface.co/cl-nagoya/ruri-large-v2),⚠️ NA,1287.0,0.337,1024.0,512.0,,,,73.75,41.85,,,,,,82.63
236,237,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100%,123.0,0.032,312.0,2048.0,,,,64.66,,,57.04,60.36,71.12,,
237,238,[sarashina-embedding-v1-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v1-1b),100%,4669.0,1.224,1792.0,8192.0,,,,75.39,43.54,,,,,,79.54
